,Date,Team,Cash,Tickets,Cash Sides,Ticket Sides,Open ML,Current ML,Delta,ML Delta
0,2/27/22,76ers,70%,84%,70%,84%,-375,-350,-14.0,25.0
1,10:10 AM,Knicks,o77%,o76%,30%,16%,+305,+280,14.0,25.0
2,-,-,-,-,-,-,-,-,-,-
3,2/27/22,Jazz,71%,64%,71%,64%,-110,-151,7.0,-41.0
4,12:40 PM,Suns,u53%,o61%,29%,36%,-110,+131,-7.0,-21.0
5,-,-,-,-,-,-,-,-,-,-
6,2/27/22,Celtics,53%,63%,53%,63%,-350,-430,-10.0,-80.0
7,2:10 PM,Pacers,o66%,o70%,47%,37%,+280,+350,10.0,-70.0
8,-,-,-,-,-,-,-,-,-,-
9,2/27/22,Pistons,o88%,o60%,23%,32%,+430,+430,-9.0,0.0
10,4:10 PM,Hornets,77%,68%,77%,68%,-550,-550,9.0,0.0
11,-,-,-,-,-,-,-,-,-,-
12,2/27/22,Clippers,73%,69%,73%,69%,-285,-275,4.0,10.0
13,4:10 PM,Rockets,o87%,o79%,27%,31%,+240,+230,-4.0,10.0
14,-,-,-,-,-,-,-,-,-,-
15,2/27/22,Mavericks,53%,o71%,53%,40%,+165,+150,13.0,15.0
16,4:45 PM,Warriors,u61%,60%,47%,60%,-190,-170,-13.0,20.0
17,-,-,-,-,-,-,-,-,-,-
18,2/27/22,Nuggets,74%,65%,74%,65%,-375,-350,9.0,25.0
19,6:10 PM,Trail Blazers,o74%,o57%,26%,35%,+305,+280,-9.0,25.0
20,-,-,-,-,-,-,-,-,-,-
21,2/27/22,Pelicans,o63%,o73%,33%,30%,+110,+110,3.0,0.0
22,7:10 PM,Lakers,67%,70%,67%,70%,-130,-130,-3.0,0.0
23,-,-,-,-,-,-,-,-,-,-
24,2/27/22,Connecticut,77%,73%,77%,73%,-650,-700,4.0,-50.0
25,9:00 AM,Georgetown,o50%,o59%,23%,27%,+475,+520,-4.0,-45.0
26,-,-,-,-,-,-,-,-,-,-
27,2/27/22,Princeton,73%,69%,73%,69%,-135,-155,4.0,-20.0
28,9:00 AM,Harvard,o67%,o74%,27%,31%,+115,+135,-4.0,-20.0
29,-,-,-,-,-,-,-,-,-,-
30,2/27/22,SMU,51%,51%,51%,51%,+450,+485,0.0,-35.0
31,9:30 AM,Houston U,o65%,o73%,49%,49%,-600,-625,0.0,-25.0
32,-,-,-,-,-,-,-,-,-,-
33,2/27/22,Canisius,u62%,o52%,22%,18%,+150,+172,4.0,-22.0
34,10:00 AM,Quinnipiac,78%,82%,78%,82%,-170,-197,-4.0,-27.0
35,-,-,-,-,-,-,-,-,-,-
36,2/27/22,Illinois,55%,59%,55%,59%,-117,-115,-4.0,2.0
37,11:10 AM,Michigan,o64%,o71%,45%,41%,-103,-105,4.0,-2.0
38,-,-,-,-,-,-,-,-,-,-
39,2/27/22,Iona,73%,75%,73%,75%,-355,-410,-2.0,-55.0
40,11:00 AM,Rider,o92%,o79%,27%,25%,+295,+330,2.0,-35.0
41,-,-,-,-,-,-,-,-,-,-
42,2/27/22,Fairfield,76%,u58%,76%,49%,+100,-103,27.0,-3.0
43,11:00 AM,Manhattan,u63%,51%,24%,51%,-120,-117,-27.0,3.0
44,-,-,-,-,-,-,-,-,-,-
45,2/27/22,Niagara,52%,51%,52%,51%,+195,+175,1.0,20.0
46,11:00 AM,St. Peter's,o56%,o57%,48%,49%,-235,-205,-1.0,30.0
47,-,-,-,-,-,-,-,-,-,-
48,2/27/22,Monmouth,60%,63%,60%,63%,-125,-137,-3.0,-12.0
49,11:00 AM,Siena,o87%,o78%,40%,37%,+105,+117,3.0,-12.0
50,-,-,-,-,-,-,-,-,-,-
51,2/27/22,George Washington,67%,o80%,67%,45%,+425,+430,22.0,-5.0
52,11:30 AM,George Mason,o82%,55%,33%,55%,-550,-550,-22.0,0.0
53,-,-,-,-,-,-,-,-,-,-
54,2/27/22,Wichita State,o64%,o83%,35%,31%,+340,+340,4.0,0.0
55,11:35 AM,Memphis,65%,69%,65%,69%,-420,-420,-4.0,0.0
56,-,-,-,-,-,-,-,-,-,-
57,2/27/22,Tulane,u77%,o53%,50%,36%,+140,+118,14.0,22.0
58,12:00 PM,Temple,50%,64%,50%,64%,-160,-138,-14.0,22.0
59,-,-,-,-,-,-,-,-,-,-
60,2/27/22,E Tennessee St,57%,o89%,57%,34%,+160,+158,23.0,2.0
61,1:00 PM,NC Greensboro,o87%,66%,43%,66%,-180,-178,-23.0,2.0
62,-,-,-,-,-,-,-,-,-,-
63,2/27/22,Ohio State,57%,72%,57%,72%,-180,-173,-15.0,7.0
64,1:00 PM,Maryland,u54%,o61%,43%,28%,+160,+153,15.0,7.0
65,-,-,-,-,-,-,-,-,-,-
66,2/27/22,St. John's,52%,63%,52%,63%,-125,-132,-11.0,-7.0
67,2:00 PM,Depaul,o71%,o76%,48%,37%,+105,+112,11.0,-7.0
68,-,-,-,-,-,-,-,-,-,-
69,2/27/22,Montana State,o57%,58%,44%,58%,-115,-107,-14.0,8.0
70,2:00 PM,Montana,56%,o74%,56%,42%,-105,-113,14.0,-8.0
71,-,-,-,-,-,-,-,-,-,-
72,2/27/22,Indiana U,68%,64%,68%,64%,-160,-177,4.0,-17.0
73,3:00 PM,Minnesota U,o70%,o74%,32%,36%,+140,+157,-4.0,-17.0
74,-,-,-,-,-,-,-,-,-,-
75,2/27/22,Nebraska,o62%,o68%,32%,31%,+435,+485,1.0,-50.0
76,4:00 PM,Penn State,68%,69%,68%,69%,-565,-625,-1.0,-60.0
77,-,-,-,-,-,-,-,-,-,-
78,2/27/22,,-,-,-,-,,,-,-
79,7:00 PM,,-,-,-,-,,,-,-
80,-,-,-,-,-,-,-,-,-,-
81,2/27/22,,-,-,-,-,,,-,-
82,7:00 PM,,-,-,-,-,,,-,-
83,-,-,-,-,-,-,-,-,-,-
84,2/27/22,Edmonton,o78%,o80%,7%,15%,+1½-140,+1½-135,-8.0,5.0
85,10:05 AM,Carolina,93%,85%,93%,85%,-1½+120,-1½+115,8.0,5.0
86,-,-,-,-,-,-,-,-,-,-
87,2/27/22,Buffalo,o56%,o85%,11%,9%,+1½-115,+1½-105,2.0,10.0
88,11:05 AM,Dallas,89%,91%,89%,91%,-1½-105,-1½-115,-2.0,-10.0
89,-,-,-,-,-,-,-,-,-,-
90,2/27/22,St. Louis,89%,82%,89%,82%,-1½+135,-1½+155,7.0,-20.0
91,12:05 PM,Chicago,o55%,o63%,11%,18%,+1½-155,+1½-175,-7.0,-20.0
92,-,-,-,-,-,-,-,-,-,-
93,2/27/22,Winnipeg,u53%,74%,47%,74%,-1½+135,-1½+160,-27.0,-25.0
94,1:05 PM,Arizona,53%,o76%,53%,26%,+1½-155,+1½-180,27.0,-25.0
95,-,-,-,-,-,-,-,-,-,-
96,2/27/22,Pittsburgh,63%,66%,63%,66%,-1½+115,-1½+142,-3.0,-27.0
97,3:05 PM,Columbus,o85%,o88%,37%,34%,+1½-135,+1½-162,3.0,-27.0
98,-,-,-,-,-,-,-,-,-,-
99,2/27/22,Vancouver,o90%,o80%,28%,24%,+1½-210,+1½-250,4.0,-40.0
100,4:35 PM,NY Rangers,72%,76%,72%,76%,-1½+175,-1½+210,-4.0,-35.0
101,-,-,-,-,-,-,-,-,-,-
102,2/27/22,NY Islanders,u53%,o66%,10%,18%,+1½-275,+1½-240,-8.0,35.0
103,5:35 PM,Anaheim,90%,82%,90%,82%,-1½+230,-1½+200,8.0,30.0
104,-,-,-,-,-,-,-,-,-,-
105,2/27/22,Seattle,u64%,o73%,12%,17%,+1½-250,+1½-220,-5.0,30.0
106,7:05 PM,San Jose,88%,83%,88%,83%,-1½+210,-1½+190,5.0,20.0
107,-,-,-,-,-,-,-,-,-,-
108,2/28/22,Pacers,-,-,-,-,,,-,-
109,4:10 PM,Magic,-,-,-,-,,,-,-
